osmid,y,x,street_count,highway,railway,junction,geometry
300082589,51.6492083,39.1855198,3,,,,POINT (39.1855198 51.6492083)
300082591,51.6490414,39.1864836,3,,,,POINT (39.1864836 51.6490414)
300082594,51.6501155,39.187935,4,,,,POINT (39.187935 51.6501155)
300082598,51.6491627,39.1913206,3,,,,POINT (39.1913206 51.6491627)
300082601,51.649893,39.1937998,3,,,,POINT (39.1937998 51.649893)
300082605,51.6485412,39.1873437,3,,,,POINT (39.1873437 51.6485412)
300082606,51.6492023,39.1886454,1,,,,POINT (39.1886454 51.6492023)
300800980,51.6804237,39.2540835,3,,,,POINT (39.2540835 51.6804237)
300801850,51.6363461,39.2112898,3,,,,POINT (39.2112898 51.6363461)
300801883,51.6381085,39.2101815,4,,,,POINT (39.2101815 51.6381085)
300802047,51.6368553,39.2093684,3,,,,POINT (39.2093684 51.6368553)
300802113,51.6361204,39.211712,3,,,,POINT (39.211712 51.6361204)
300802124,51.6377988,39.2096626,4,,,,POINT (39.2096626 51.6377988)
300802443,51.6359408,39.1718871,3,,,,POINT (39.1718871 51.6359408)
300802466,51.6354237,39.172427,3,,,,POINT (39.172427 51.6354237)
300802482,51.6357237,39.1728204,3,,,,POINT (39.1728204 51.6357237)
300802484,51.6360707,39.1728169,3,,,,POINT (39.1728169 51.6360707)
300803144,51.6704269,39.205573,4,traffic_signals,,,POINT (39.205573 51.6704269)
300803481,51.6783875,39.2139216,4,traffic_signals,,,POINT (39.2139216 51.6783875)
300803861,51.652705,39.1910237,4,,,,POINT (39.1910237 51.652705)
300804319,51.6582602,39.2098081,4,,,,POINT (39.2098081 51.6582602)
300805467,51.6675281,39.2210268,3,,,,POINT (39.2210268 51.6675281)
300815283,51.6576889,39.1951485,1,,,,POINT (39.1951485 51.6576889)
300815298,51.658373,39.1932445,4,traffic_signals,,,POINT (39.1932445 51.658373)
300816373,51.6748931,39.2463589,3,,,,POINT (39.2463589 51.6748931)
300816376,51.6748947,39.2443507,3,,,,POINT (39.2443507 51.6748947)
300816447,51.667299,39.2287917,3,,,,POINT (39.2287917 51.667299)
300816460,51.6726117,39.1916002,3,traffic_signals,,,POINT (39.1916002 51.6726117)
300816461,51.6712048,39.1885835,3,,,,POINT (39.1885835 51.6712048)
300834417,51.6393921,39.2357192,4,,,,POINT (39.2357192 51.6393921)
302313423,51.6954126,39.2281004,3,,,,POINT (39.2281004 51.6954126)
302317392,51.7109638,39.2302231,3,,,,POINT (39.2302231 51.7109638)
302317989,51.7121024,39.2250087,3,,,,POINT (39.2250087 51.7121024)
302318761,51.7219055,39.2178075,4,,,,POINT (39.2178075 51.7219055)
302531681,51.7258398,39.1791876,3,,,,POINT (39.1791876 51.7258398)
302531682,51.7266259,39.179095,3,,,,POINT (39.179095 51.7266259)
302531683,51.726257,39.179809,3,,,,POINT (39.179809 51.726257)
302531685,51.7266989,39.191297,3,,,,POINT (39.191297 51.7266989)
302531687,51.726839,39.197105,3,,,,POINT (39.197105 51.726839)
302531691,51.7259486,39.1990614,3,,,,POINT (39.1990614 51.7259486)
302531696,51.7256106,39.2155379,3,,,,POINT (39.2155379 51.7256106)
302533789,51.6938899,39.2324131,3,,,,POINT (39.2324131 51.6938899)
